date_time,dl_speed,ul_speed,ping
2023-01-02 11:44,11,4.6,153
2023-01-02 11:54,31,5,151
2023-01-02 11:56,26,5.3,151
2023-01-02 11:58,29,4.8,151
2023-01-02 11:59,31,5.1,151
2023-01-02 12:24,31,5.1,152
2023-01-02 12:25,33,5.3,151
2023-01-02 12:27,25,5.2,151
2023-01-02 12:28,29,5.7,152
2023-01-02 12:30,18,5.1,153
